model_size,corpus_type,level,seed,bin,n_facts,frac_stored
S,CURATED,1000,1,3-4,138288,0.0001246549320982298
S,CURATED,1000,1,5-8,96485,0.00027407464162175466
S,CURATED,1000,1,9-16,62092,0.0013663728066820203
S,CURATED,1000,1,17-32,39750,0.004485419123427673
S,CURATED,1000,1,33-64,25325,0.02719909728220632
S,CURATED,1000,1,65-128,15904,0.1752463020309356
S,CURATED,1000,1,129-256,10056,0.6417606326446897
S,CURATED,1000,1,>=257,16156,0.9812488031729698
S,CURATED,1000,2,1,226381,4.740327665252387e-05
S,CURATED,1000,2,2,146037,4.345772336377085e-05
S,CURATED,1000,2,3-4,137789,0.00017679283122654929
S,CURATED,1000,2,5-8,96583,0.0004599170248969798
S,CURATED,1000,2,9-16,62624,0.001097198158852836
S,CURATED,1000,2,17-32,39732,0.005116777526615826
S,CURATED,1000,2,33-64,25152,0.02858060492207379
S,CURATED,1000,2,65-128,15885,0.18219211999822946
S,CURATED,1000,2,129-256,10063,0.6440965132555525
S,CURATED,1000,2,>=257,16166,0.9760641607482525
S,CURATED,30,1,1,9854,0.00016178590229855896
S,CURATED,30,1,2,24355,0.0001664526823290905
S,CURATED,30,1,3-4,98344,4.057425338607339e-05
S,CURATED,30,1,5-8,238671,7.00994795791068e-05
S,CURATED,30,1,9-16,227258,0.00018708731857074336
S,CURATED,30,1,17-32,147319,0.0006382981642939811
S,CURATED,30,1,33-64,107060,0.0023525341368158042
S,CURATED,30,1,65-128,141547,0.007993405914312031
S,CURATED,30,1,129-256,2543,0.005261168065523005
S,CURATED,30,1,>=257,993,0.004791106102089627
S,CURATED,30,2,1,9806,-4.0183863833367337e-05
S,CURATED,30,2,2,24531,4.1212601529697144e-05
S,CURATED,30,2,3-4,98323,3.046450299650134e-05
S,CURATED,30,2,5-8,238312,9.994611842878241e-05
S,CURATED,30,2,9-16,227617,0.0001908005261442467
S,CURATED,30,2,17-32,147238,0.0006116167202505468
S,CURATED,30,2,33-64,106948,0.001691379440826383
S,CURATED,30,2,65-128,141661,0.005523148890110016
S,CURATED,30,2,129-256,2560,0.005615234375
S,CURATED,30,2,>=257,998,0.002761871399048096
S,CURATED,300,1,1,172391,2.269465062343742e-05
S,CURATED,300,1,2,151543,3.3008435002771495e-05
S,CURATED,300,1,3-4,180917,0.0002422702706040615
S,CURATED,300,1,5-8,137418,0.0003089164708680813
S,CURATED,300,1,9-16,89326,0.0009089391054256319
S,CURATED,300,1,17-32,57072,0.003908508660113541
S,CURATED,300,1,33-64,36203,0.02420134731798815
S,CURATED,300,1,65-128,22776,0.15390935428191957
S,CURATED,300,1,129-256,14437,0.6157425602131242
S,CURATED,300,1,>=257,23575,0.9860124871586692
S,CURATED,300,2,1,173478,9.49384161824554e-06
S,CURATED,300,2,2,151086,9.341546888030656e-05
S,CURATED,300,2,3-4,180288,0.00022178056775825348
S,CURATED,300,2,5-8,138067,0.0005091168514425968
S,CURATED,300,2,9-16,89103,0.0011138383431604434
S,CURATED,300,2,17-32,57089,0.005658923012478324
S,CURATED,300,2,33-64,36104,0.03188526331916131
S,CURATED,300,2,65-128,22907,0.18371709393212227
S,CURATED,300,2,129-256,14407,0.6506894333321042
S,CURATED,300,2,>=257,23594,0.9847944285027443
S,CURATED,x30,1,1,21,-0.000244140625
S,CURATED,x30,1,2,74,-0.000244140625
S,CURATED,x30,1,3-4,1125,0.0006447482638888889
S,CURATED,x30,1,5-8,25405,0.00018884500774945877
S,CURATED,x30,1,9-16,213598,9.762287465823653e-05
S,CURATED,x30,1,17-32,565616,0.00014481584016364462
S,CURATED,x30,1,33-64,188963,0.00039619637218992604
S,CURATED,x30,1,65-128,3178,7.052268525802394e-05
S,CURATED,x30,1,129-256,1285,0.0005340694917315176
S,CURATED,x30,1,>=257,732,-0.000244140625
S,CURATED,x30,2,1,11,-0.000244140625
S,CURATED,x30,2,2,64,-0.000244140625
S,CURATED,x30,2,3-4,1110,0.0006567602759009009
S,CURATED,x30,2,5-8,25172,3.394613807007786e-05
S,CURATED,x30,2,9-16,213814,-2.432340068353803e-05
S,CURATED,x30,2,17-32,566125,6.851117451424154e-05
S,CURATED,x30,2,33-64,188462,0.0001007564895376787
S,CURATED,x30,2,65-128,3234,-0.000244140625
S,CURATED,x30,2,129-256,1272,-0.000244140625
S,CURATED,x30,2,>=257,736,0.001114555027173913
S,FLAT,100,1,1,206038,0.00011986989733083218
S,FLAT,100,1,2,151799,0.00023675845865667758
S,FLAT,100,1,3-4,158648,0.0005374639335194896
S,FLAT,100,1,5-8,114295,0.0012782356819250624
S,FLAT,100,1,9-16,73806,0.005094178752828361
S,FLAT,100,1,17-32,47259,0.024661168416664023
S,FLAT,100,1,33-64,29890,0.1320743605459602
S,FLAT,100,1,65-128,43535,0.5334413997448174
S,FLAT,100,1,129-256,5479,0.6133714826639214
S,FLAT,100,1,>=257,1213,0.6147599813865416
S,FLAT,100,2,1,206141,0.00010513487089843843
S,FLAT,100,2,2,151756,0.0002500737717948549
S,FLAT,100,2,3-4,158679,0.00044278076976553293
S,FLAT,100,2,5-8,113545,0.0012794843694955745
